,created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,geo,coordinates,user_id,user_screen_name,user_name,user_location,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
0,2022-10-17 08:16:09,"Georgia just became the latest state to require personal finance education Georgia Gov. Brian Kemp on Thursday signed into law SB 220, a bill mandating personal finance classes for high school students. , ",['rxa'],[],[],0,0,,,,,757814965,KinteSpace,the kinte space,Los Angeles,300,480,28,False,30222
1,2022-10-17 09:02:31,"Brian Kemp to battle Stacey Abrams in gubernatorial debate Monday night , via",[],[10228272],['YouTube'],0,0,,,,,3193701535,lklonelove,Lawrence K Lancaster,"Los Angeles, CA",4318,1556,28,False,12896
2,2022-10-17 09:14:47,"HOW MANY GEORGIANS DIE EACH YEAR DUE TO GOVERNOR KEMPS REFUSAL TO EXPAND MEDICAID. KEMP HAS KILLED THOUSANDS! ,",[],"[739844197935644672, 612557998, 216065430]","['AmoneyResists', 'ccharlamb8', 'staceyabrams']",0,0,26241121.0,FirstJamesBond,,,26241121,FirstJamesBond,Jim Bond,"Dallas, Texas",3006,756,23094,False,60100
3,2022-10-17 09:22:35,"VOTE OUT RICK SCOTT RON DESANTIS MARCO RUBIO RON JOHNSON BRIAN KEMP MIKE DEWINE TUBERVILLE GOSAR SINEMA MTG BOEBERT JIM JORDAN BASICALLY ALL THE REPUBLICANS ,",[],[],[],0,0,,,,,1484305211057315844,MarshaBrett1,Marsha Brett,United States,1409,177,12703,False,13725
4,2022-10-17 09:23:12,Thank you for speaking to Black Americans about Stacey. Brian Kemp wont even say the word ,"['Reparations', 'Reparations']",[216065430],['staceyabrams'],0,1,216065430.0,staceyabrams,,,924233875592802304,Come_Oon_Man,"I Secured My Vote, YOU?💙",You Are Here ,5737,5226,67881,False,50228
5,2022-10-17 09:55:46,A home come almost becomes a homegoing? A simple celebration disrupted with gun violence? Can't have a good time because someone choses violence? And made easy because governor Kemp passed a law that allows anyone,[],[],[],0,0,,,,,1548352507771887635,DwightBattle11,Dwight Battle,,30,1,9,False,416
6,2022-10-17 10:00:00,"Gov. Kemp just unveiled a slate of public safety policies that includes pledges to crack down on gangs, create a loan program to boost the ranks of law enforcement officers and steer judges toward issuing cash bail in certain instances. ,",['gapol'],[],[],15,54,,,,,16563015,bluestein,Greg Bluestein,ATL,998,124059,24829,True,55794
7,2022-10-17 10:01:03,"Brian Kemp is against woman's rights to choose! It's your choice Georgia! He's the 83rd Governor of Georgia. Make Abram's 84 ,",[],[],[],7,9,,,,,1209684883448066048,pluto_bro,PlutoBro (DABS),,7670,7170,32029,False,42521
8,2022-10-17 10:01:41,These days seems like we're leaving in the wild wild west? Governor Kemp passing gun laws to put us in more danger? The solution to the wild wild west was wanted dead or alive! Is that governor Kemps next move?,[],[],[],0,0,,,,,1548352507771887635,DwightBattle11,Dwight Battle,,30,1,9,False,416
9,2022-10-17 10:04:27,You can show that this means a lot to you by 1. Debating her 2. Cross endorsing Brian Kemp in Georgia since Stacey Abrams did the same thing in 2018.,[],[26659619],['katiehobbs'],0,0,26659619.0,katiehobbs,,,62367306,mikemoto1,Mike H,"Fort Worth, TX",1018,174,5771,False,4741
10,2022-10-17 10:04:56,"There is documented evidence that as Sec. of State in Georgia in 2018 (when he should have stepped away from these duties to run for governor), Kemp interfered with voting access in several areas. ,",[],[55329156],['RNCResearch'],0,0,55329156.0,RNCResearch,,,469296197,tgreywolfe1,tracy s. wolfe VOTEBLUE🌊,,205,185,151406,False,17622
11,2022-10-17 10:13:42,"Kemp, Abrams to debate on 1st day of early voting in Georgia Via The Independent : Mon, 17 Oct 2022, 10:03:01 GMT ,",[],[],[],0,0,,,,,1417125620732080128,auto_news_feed,Auto News Feed,,0,264,0,False,66785
12,2022-10-17 10:23:12,Then you should right now endorse Brian Kemp in Georgia since Stacey Abrams did the exact same thing.,[],[236487888],['WalshFreedom'],0,0,236487888.0,WalshFreedom,,,62367306,mikemoto1,Mike H,"Fort Worth, TX",1018,174,5771,False,4741
13,2022-10-17 10:23:31,"Early voting starts today across Georgia where Raphael Warnock and Herschel Walker fights for a Senate seat. Stacey Abrams and Gov. Brian Kemp faces off in the first debate tonight. joined to discuss. ,",[],[1617394298],['mrbrownsir'],14,19,,,,,447410369,EarlyStart,CNN Early Start,"New York, NY",1354,30210,2777,True,27344
14,2022-10-17 10:26:39,"Kemp, Abrams to debate on 1st day of early voting in Georgia ,",[],[],[],0,0,,,,,2976653309,IndyUSA,Independent US,"New York, NY",164,34205,3,False,112118
